date,data
2004-May-Late,1715
2005-May-Early,1760
2005-May-Mid,1641
2005-May-Late,1540
2006-May-Early,2810
2006-May-Mid,2656
2006-May-Late,2316
2007-May-Early,1433
2007-May-Mid,1502
2007-May-Late,1543
2008-May-Early,2018
2008-May-Mid,1876
2008-May-Late,1797
2009-May-Early,4982
2009-May-Mid,5032
2009-May-Late,3930
2010-May-Early,4542
2010-May-Mid,4119
2010-May-Late,3483
2011-May-Early,1727
2011-May-Mid,1435
2011-May-Late,1214
2012-May-Early,3137
2012-May-Mid,2607
2012-May-Late,2407
2013-May-Early,3214
2013-May-Mid,3059
2013-May-Late,2859
2014-May-Early,2015
2014-May-Mid,1895
2014-May-Late,1706
2015-May-Early,2890
2015-May-Mid,3007
2015-May-Late,3664
2016-May-Early,3999
2016-May-Mid,3946
2016-May-Late,3802
2017-May-Early,2846
2017-May-Mid,2108
2017-May-Late,2048
2018-May-Early,3832
2018-May-Mid,3194
2018-May-Late,2799
2019-May-Early,2379
2019-May-Mid,2489
2019-May-Late,2271
2020-May-Early,5875
2020-May-Mid,4550
2020-May-Late,4452
2021-May-Early,4963
2021-May-Mid,3385
2021-May-Late,3211
2022-May-Early,5281
2022-May-Mid,4706
2022-May-Late,3999
2023-May-Early,4124
2023-May-Mid,4074
2023-May-Late,4017
2024-May-Early,4182
2024-May-Mid,3795
2024-May-Late,3578
1996-June-Early,1569
1996-June-Mid,1465
1996-June-Late,1825
1997-June-Early,2051
1997-June-Mid,1869
1997-June-Late,1573
1998-June-Early,1278
1998-June-Mid,1137
1998-June-Late,963
1999-June-Early,968
1999-June-Mid,960
1999-June-Late,1216
2000-June-Early,1301
2000-June-Mid,1230
2000-June-Late,1580
2001-June-Early,1818
2001-June-Mid,3132
2001-June-Late,2680
2002-June-Early,1620
2002-June-Mid,1506
2002-June-Late,1579
2003-June-Early,1761
2003-June-Mid,1444
2003-June-Late,1486
2004-June-Early,1542
2004-June-Mid,1455
2004-June-Late,1703
2005-June-Early,1509
2005-June-Mid,1438
2005-June-Late,1467
2006-June-Early,2109
2006-June-Mid,1849
2006-June-Late,1760
2007-June-Early,1457
2007-June-Mid,1527
2007-June-Late,2156
2008-June-Early,1678
2008-June-Mid,1563
2008-June-Late,1666
2009-June-Early,3298
2009-June-Mid,2683
2009-June-Late,2479
2010-June-Early,2751
2010-June-Mid,2659
2010-June-Late,2559
2011-June-Early,1218
2011-June-Mid,1236
2011-June-Late,1201
2012-June-Early,2245
2012-June-Mid,2092
2012-June-Late,2277
2013-June-Early,2736
2013-June-Mid,2703
2013-June-Late,2760
2014-June-Early,1596
2014-June-Mid,1801
2014-June-Late,2054
2015-June-Early,3441
2015-June-Mid,3434
2015-June-Late,3205
2016-June-Early,3333
2016-June-Mid,2816
2016-June-Late,2791
2017-June-Early,2085
